Planet Equil Temp (K),Stellar Mass (M_Sun),Stellar Eff Temp (K),Stellar log(g) (cm/s^2),Imaging Observations,Time Series Observations,Spectroscopy Observations,Stellar Distance (pc),Planet Insolation (Earth Flux),Stellar Radius (R_Sun),Planet SNR,Planet Radius (R_Earth),TFOPWG Disposition
0.07844080617880421,-0.12403888450839604,-0.15268644736310646,0.582411171267075,0.16466672545876482,-0.4584030348712219,-0.29527578511164654,-0.0640295424525592,-0.18124823016709243,-0.24063017838015197,0.6178188520176005,0.21196380825915914,True
-0.062185258354747454,0.41869171304560227,0.2817676923742331,0.04180481682987145,-0.541653976013519,-0.2925193948275222,-0.18074328843095053,-0.3759511023963287,-0.22018937642696562,-0.12200354062878888,7.216931900571912,0.39666656847977094,True
0.05333923554243747,0.3950947305432545,0.3271298157879847,-0.2548367510085764,1.5773081284033323,-0.4584030348712219,-0.4098082817923426,-0.007948052042745088,-0.1855415337946678,-0.05139819522263813,-0.01593663409087176,0.32476754187802087,True
0.3517761081145932,0.13552792301742897,0.1258753245861289,-1.207631660669755,0.16466672545876482,-0.2925193948275222,-0.4098082817923426,-0.15561946879745822,-0.12164987129478406,0.2528253334768702,-0.09030236322814128,0.24726155439327566,True
0.10651259700021413,-0.1712328495130916,-0.13351935296292972,0.2246090539917316,-0.18849362527737706,-0.2925193948275222,-0.06621079175025447,-0.435447376183649,-0.17623184429584907,-0.11150935532643222,1.9758279563861336,0.2536589451741554,True
0.4816898051834302,0.7962434330831661,0.6778876433112191,0.4194776611374537,0.16466672545876482,-0.2925193948275222,-0.4098082817923426,-0.08105503377526786,-0.1363169640581847,0.08609642477881342,2.4958101112005746,0.47079361312875206,True
0.13103351421802617,0.08833395801273343,0.2006269927468182,-0.41028648082735353,0.16466672545876482,-0.4584030348712219,-0.29527578511164654,-0.32037105089967993,-0.19810612912287726,0.06379999991371316,0.9839516051427957,0.8064241739054543,True
-0.45897735670408557,-0.3600087095318738,-0.20188198965689344,0.6901840592779764,0.5178270761949066,-0.4584030348712219,-0.4098082817923426,0.008679099956420992,-0.24110293411613523,-0.2706954333371723,-0.18901689659342488,0.12469319912425748,True
-0.2988494832279684,-0.4072026745365691,-0.31496784661793625,0.581507956401973,0.8709874269310486,-0.4584030348712219,-0.4098082817923426,0.15107525437543468,-0.2293275622017577,-0.2056649206511608,-0.14140240418738878,0.13909785104517206,True
-0.16636616861970685,-0.1712328495130916,0.06645733194558098,0.3783168694278124,-0.541653976013519,-0.4584030348712219,-0.4098082817923426,-0.11584489681298187,-0.21611798857471848,-0.14167640942251591,0.26178318336679424,0.3518995591164516,True
-0.18140630605209263,-0.3600087095318738,-0.29324513963106924,0.40560686142339053,-0.541653976013519,-0.2925193948275222,-0.4098082817923426,0.14456279696426189,-0.21779638755667716,-0.2220784370604187,-0.15829529264650777,0.2038272047468766,True
-0.0717395230629201,-0.2420237970201349,-0.12074129002947855,-0.062226181025609346,0.16466672545876482,-0.2925193948275222,-0.29527578511164654,-0.17784836516612917,-0.2044011630270504,-0.14901192780220032,2.1540155999101036,0.26569309115667405,True
-0.22655545676562128,0.15912490551977676,0.1348199686395447,0.4601545877407916,-0.541653976013519,-0.4584030348712219,-0.29527578511164654,0.05051566373335311,-0.2225510674521028,-0.19260888603493964,0.13387479969121724,0.2940231417969235,True
-0.14467385327977,-0.21842681451778714,-0.024905818028594828,-0.09006455347499863,0.16466672545876482,-0.4584030348712219,-0.29527578511164654,-0.3120684097050569,-0.2136110981318151,-0.11020501509555523,3.4058733389220546,-0.004346931140839922,True
-0.5838352733645418,-0.33641172702952604,-0.29516184907108695,0.37676850108763915,-0.8948143267496609,-0.4584030348712219,-0.4098082817923426,0.05859336036879915,-0.24768938988970504,-0.2455313107770336,-0.07787940126761214,-0.001353332052605178,True
-0.4424853440622231,-0.6903664645647422,-0.587140587100446,0.5991851616189673,0.16466672545876482,-0.2925193948275222,-0.4098082817923426,-0.41608027448450763,-0.24007549483998747,-0.23472868560106327,2.1902303149600053,0.11197756341464822,True
0.23645882931594375,-0.19482983201543938,-0.08572939759182224,-1.5095312293300458,-0.541653976013519,-0.4584030348712219,-0.4098082817923426,0.2931402404156602,-0.14984952640885849,0.17320485123100968,-0.20246586071283776,0.4779014182902855,True
-0.8016645114110416,-0.3128147445271782,-0.16163109141652227,0.19248041093311055,1.5773081284033323,0.3710151653472766,0.1628542016111376,-0.5031995839272634,-0.25671205927285967,-0.1814606736023895,-0.13619810616364963,-0.4956659447387183,True
-2.711905091635895e-16,-0.33641172702952604,-0.2298020571664841,-1.7353349456055052,0.5178270761949066,-0.4584030348712219,-0.29527578511164654,-0.5260091184393099,0.0,0.3528025429443316,-0.19873407164149415,0.13335966909403912,True
