,TIC ID,TOI,Previous CTOI,Master,SG1A,SG1B,SG2,SG3,SG4,SG5,ESM,TSM,Predicted Mass (M_Earth),Time Series Observations,Spectroscopy Observations,Imaging Observations,TESS Disposition,TFOPWG Disposition,TESS Mag,TESS Mag err,Planet Name,Pipeline Signal ID,Source,Detection,RA,Dec,PM RA (mas/yr),PM RA err (mas/yr),PM Dec (mas/yr),PM Dec err (mas/yr),Epoch (BJD),Epoch (BJD) err,Period (days),Period (days) err,Duration (hours),Duration (hours) err,Depth (mmag),Depth (mmag) err,Depth (ppm),Depth (ppm) err,Planet Radius (R_Earth),Planet Radius (R_Earth) err,Planet Insolation (Earth Flux),Planet Equil Temp (K),Planet SNR,Stellar Distance (pc),Stellar Distance (pc) err,Stellar Eff Temp (K),Stellar Eff Temp (K) err,Stellar log(g) (cm/s^2),Stellar log(g) (cm/s^2) err,Stellar Radius (R_Sun),Stellar Radius (R_Sun) err,Stellar Metallicity,Stellar Metallicity err,Stellar Mass (M_Sun),Stellar Mass (M_Sun) err,Sectors,Date TOI Alerted (UTC),Date TOI Updated (UTC),Date Modified,Comments
0,231663901,101.01,,5,5,5,5,5,5,5,87.6,211.2,116.12,0,1,3,KP,True,12.4069,0.006,,1,spoc-s01-s69-b0A-KP,SPOC,21:14:56.88,-55:52:18.71,12.641,0.044,-16.011,0.041,2458326.009117,0.00013154597,1.43036994965074,7.7233494e-07,1.61659940399439,0.019208942,20.784,0.200653,18960.7122943629,184.79134,13.1874503075824,0.6576402,1281.2408253875,1525.90480889146,151.72173,375.31,4.411,5600.0,,4.48851,,0.890774011611938,0.0438467,,,1.05,0.129454,"1,27,67",2018-09-05,2024-09-06,2024-09-06 00:00:00,WASP-46 b
1,149603524,102.01,,5,5,5,5,5,5,5,137.4,179.0,317.0,1,2,1,KP,True,9.7109,0.006,,1,qlp-s68-ffi,SPOC,05:48:33.56,-63:59:17.98,-15.641,0.037,26.046,0.037,2460187.916571,0.0001263,4.4119378,8e-07,3.65,0.011,16.477767,0.075115,15062.0,69.1814,15.4706,0.691963,653.252,1408.0,1112.0,175.631,0.588,6280.0,,4.32092,,1.21,0.05,0.24,0.05,1.28,0.190812,"1,2,3,4,6,7,8,9,10,11,12,13,27,28,29,30,31,32,33,34,36,37,38,39,61,62,64,65,68",2019-05-07,2023-11-16,2023-12-08 12:13:22,WASP 62 b
2,336732616,103.01,,5,5,5,5,5,5,5,47.7,136.4,116.75,0,0,7,KP,True,11.5232,0.008,,1,sector-01-spoc-alerts,SPOC,20:49:49.8,-24:25:43.3,10.426,0.07,15.62,0.051,2458327.25256,0.000586,3.547854,0.000149,3.494333,0.049205,11.377523,0.133944,10424.3718,123.359314,14.581841,0.196435,1212.004376,1504.858953,59.5,411.211,7.752,6351.0,,4.22896,,1.4,,,,1.27,0.196969,1,2018-09-05,2024-09-06,2024-09-07 00:00:00,HATS-3 b
3,231670397,104.01,,5,5,5,5,5,5,5,52.4,122.6,121.75,1,0,3,KP,True,9.8638,0.006,,1,spoc-s01-s36-b0A-CPKP,SPOC,21:19:47.93,-58:08:56.16,10.552,0.045,-10.658,0.043,2460150.608677,0.0006817,4.0872956,2.3e-06,5.5861130474761,0.050875474,3.885379,0.03875,3572.17124985973,35.689426,13.6237731764604,0.65182334,2242.36054008399,1755.07673832663,48.678577,316.678,2.9655,6036.0,,3.93359,,2.21866989135742,0.102573,,,1.16,0.166129,"1,27,67",2018-09-05,2023-10-16,2023-10-16 00:00:00,WASP-73 b
4,144065872,105.01,,5,5,5,5,5,5,5,187.2,431.1,122.95,1,3,2,KP,True,9.4995,0.006,,1,spoc-s01-s36-b0A-CPKP,UNKNOWN,22:29:49.88,-48:00:11.16,91.976,0.052,-6.861,0.069,2459084.58501,0.00011,2.18466694872065,4.851188e-07,2.86528001574358,0.009074817,12.786825,0.037924,11708.0228548887,34.928566,13.702852670325,0.66197515,1362.1381428406,1549.44098010565,349.33414,137.544,0.7905,5630.0,,4.37759,,1.23824000358582,0.0596985,,,1.03,0.127209,"1,28",2018-09-05,2021-12-08,2022-12-14 12:09:24,WASP-95; epoch kept from qlp-s28-tois
5,38846515,106.01,,5,5,5,5,5,5,5,88.4,107.0,317.0,1,0,3,KP,True,10.3157,0.006,,1,qlp-s69-ffi,SPOC,04:35:50.36,-64:01:37.34,10.845,0.035,-0.499,0.052,2460201.638583,0.000127,2.8493825,3e-07,3.567,0.053,8.774451,0.027169,8049.0,25.0232,16.3869,0.734704,2005.83,1864.0,425.0,364.411,2.729,6900.0,,4.438,,1.77,0.08,,,1.44,0.243534,"1,2,3,4,5,6,7,8,9,10,11,12,13,27,28,29,30,31,32,33,34,35,36,37,38,39,61,62,63,64,65,67,68,69",2019-05-07,2023-11-16,2023-12-08 12:13:22,WASP-100 b
6,92352620,107.01,,5,5,5,5,5,5,5,180.3,267.9,317.0,0,1,3,KP,True,9.6433,0.006,,1,qlp-s68-ffi,SPOC,20:55:07.98,-34:08:08.7,26.376,0.078,-44.947,0.059,2460176.993334,0.0004485,3.9502008,2.6e-06,4.444,0.046,15.213018,0.104225,13914.0,95.9899,20.5357,0.899664,1009.38,1570.0,205.0,211.211,2.4835,6153.0,,4.18077,,1.71,0.07,0.22,0.1,1.14,0.150731,"1,27,68",2018-09-05,2023-11-15,2023-12-08 12:13:22,WASP-94 A b
7,289793076,108.01,,5,5,5,5,5,5,5,39.1,115.6,99.64,0,0,4,KP,True,13.163,0.01,,1,spoc,SPOC,21:07:50.76,-26:05:48.19,3.479,0.063,-10.313,0.038,2458328.08383,0.0004391314,3.0440540665342,4.25771e-06,2.59845748018295,0.061165422,24.414911,0.532696,22236.0165376302,490.51093,12.1086799407213,0.2679916,315.987132647374,1075.31845422327,34.314007,421.855,8.339,5523.0,,4.52192,,0.809867978096008,,,,0.95,,"1,28",2018-09-05,2021-10-20,2022-12-14 12:09:24,HATS-13 b
8,29344935,109.01,,5,5,5,5,5,5,5,32.5,84.5,98.43,0,0,5,KP,True,13.2366,0.007,,1,spoc-s01-s69-b0A-KP,SPOC,20:52:51.71,-25:41:14.55,1.053,0.052,-9.881,0.029,2458326.127479,0.00047817343,2.76676000983202,2.5341785e-06,2.68721776988127,0.07263539,16.351489,0.315828,14947.4387827137,290.84625,12.2867388747802,0.30639383,505.884007476425,1209.57412285071,41.24269,513.011,9.1275,5346.0,,4.48823,,0.98486602306366,,,,0.93,,"1,28,68",2018-09-05,2024-09-09,2024-09-09 00:00:00,HATS-14 b
9,281459670,110.01,,5,5,5,5,5,5,5,66.2,71.2,317.0,0,0,1,KP,True,11.6714,0.006,,1,spoc-s01-s69-b0A-KP,SPOC,00:22:28.45,-59:56:33.32,-22.309,0.036,-4.893,0.034,2458328.039934,0.0002273546,3.17435042404771,1.739457e-06,2.75108595936913,0.03093153,16.913636,0.168357,15457.3247576234,155.05025,14.9172255754043,0.82839006,718.909699389919,1320.65182343208,99.91275,342.14,2.912,5943.0,,4.42524,,1.1570600271225,0.0633669,-0.1,0.1,1.03,0.12909,"1,2,28,29,68",2018-11-14,2024-09-09,2024-09-09 00:00:00,HATS-30 b
10,355703913,111.01,,5,5,5,5,5,5,5,47.0,114.2,113.71,1,0,1,KP,True,13.183,0.006,,1,spoc-s01-s69-b0A-KP,SPOC,00:03:05.88,-62:28:09.54,2.894,0.024,4.911,0.025,2458326.105486,0.0003960174,2.10615687963452,2.614607e-06,1.46889344987231,0.05627796,13.263943,0.558677,12142.2238514306,514.4283,13.0868720391028,2.512208,691.842807260503,1308.04175334622,38.7845,508.842,3.896,5380.0,,4.4337,,0.940697014331818,,0.245387,0.0875268,0.95,,"1,2,28,68",2018-10-22,2024-03-14,2024-03-16 12:15:27,HATS-34 b
11,388104525,112.01,,5,5,5,5,5,5,5,77.0,179.0,125.23,1,1,3,KP,True,11.6035,0.006,,1,spoc-s01-s39-b0A-KP,SPOC,03:43:44.07,-65:11:37.61,21.126,0.032,16.543,0.043,2460069.773646,0.00036477877,2.49979959810286,4.4218152e-07,2.865171019079,0.009780298,15.991971,0.041631,14621.2059647249,38.342907,13.8516092815726,0.7051293,907.86241957557,1399.98943838575,375.26334,302.448,2.004,5650.0,,4.28867,,1.13732004165649,0.0577764,,,1.0,0.121147,"1,2,3,4,7,11,27,28,29,30,31,34,37,61,62,63,64,65",2019-05-07,2023-08-10,2023-08-10 00:00:00,WASP-119 b
12,97409519,113.01,,5,5,5,5,5,5,5,57.3,67.8,317.0,0,1,1,KP,True,12.1893,0.006,,1,spoc,SPOC,22:10:51.44,-30:44:58.99,-0.71,0.052,-14.516,0.049,2458327.053085,0.000623,3.372877,0.000147,2.63426,0.043644,18.796923,0.230641,17163.60419,212.40587,14.201803,0.154789,615.165921,1270.187448,81.3,448.637,7.508,6050.0,,4.45061,,1.02,,,,1.17,0.16258,1,2018-09-05,2020-10-27,2022-12-14 12:09:24,WASP-124
13,25155310,114.01,,5,5,5,5,5,5,5,53.5,161.8,77.37,0,1,3,KP,True,10.6103,0.006,,1,spoc-s01-s69-b0A-KP,SPOC,04:13:29.93,-69:13:35.73,63.134,0.045,53.433,0.039,2458327.519958,6.0571994e-05,3.28878982693448,3.418338e-07,3.43677173022605,0.009987716,7.633138,0.014978,7005.72479018588,13.795558,10.5135877321783,0.51853716,759.337353319466,1338.83926473645,557.429,216.526,0.932,5800.0,,4.28004,,1.24175000190735,0.0610804,0.20683,0.0458093,1.01,0.123355,"1,2,3,4,5,6,7,8,9,10,11,12,13,27,28,29,30,31,32,33,34,36,37,38,39,61,63,64,65,66,67,68,69",2019-05-07,2024-09-09,2024-09-09 00:00:00,WASP-126 b
14,281541555,115.01,,5,5,5,5,5,5,5,20.3,76.9,76.81,0,0,0,KP,True,13.0417,0.006,,1,spoc-s01-s69-b0A-KP,SPOC,00:26:48.63,-56:18:57.97,21.46,0.027,7.316,0.024,2458329.903155,0.00054166454,4.74237090118084,3.127283e-06,2.49881451802706,0.066505075,13.823066,0.267382,12650.8110411006,246.23778,10.5505922405536,0.20499046,209.76990429185,970.634099645996,50.48632,453.808,3.894,5377.0,185.0,4.42476,2.00401,0.877584993839264,,,,0.96,,"1,2,28,29,68,69",2018-10-22,2024-09-09,2024-09-09 00:00:00,HATS-46 b
15,238176110,116.01,,5,5,5,5,5,5,5,98.8,251.1,94.86,1,0,3,KP,True,11.0443,0.006,,1,spoc-s01-s69-b0A-KP,SPOC,23:51:23.14,-70:09:10.3,96.185,0.041,-1.747,0.038,2458326.688916,7.415168e-05,2.79858018416552,3.3451747e-07,2.38010434405069,0.012993329,18.294525,0.059786,16708.7151957358,55.063156,11.9514992915279,0.7325688,332.556249023126,1089.14581691897,380.53317,149.942,0.5175,4920.0,,4.49371,,0.906655013561249,0.0553769,0.32,0.08,0.81,0.0958693,"1,27,28,67,68",2018-09-05,2024-09-09,2024-09-09 00:00:00,WASP-91 b
16,322307342,117.01,,5,5,5,5,5,5,5,39.9,44.1,317.0,0,0,1,KP,True,11.7806,0.006,,1,spoc-s01-s36-b0A-CPKP,QLP,01:00:01.46,-58:54:17.01,22.522,0.049,7.594,0.041,2459063.655791,0.001190335,3.58629619986471,0.00015300933,3.37109429721186,0.07846477,6.238423,0.124633,5729.32468580858,114.78426,16.4747610755407,0.9191712,1787.59559368927,1658.39152023611,32.356964,603.955,10.2025,5704.8,124.8,3.84,0.08,2.00441002845764,0.105699,-0.25,0.0707107,1.02,0.124059,"1,2,28,29",2018-09-05,2022-10-17,2022-12-14 12:09:24,HATS-68 b
17,266980320,118.01,,2,5,5,4,4,2,4,15.5,105.9,18.15,5,5,7,CP,True,9.179,0.006,,1,qlp-s68-ffi,SPOC,23:18:14.22,-56:54:14.35,313.918,0.039,-20.177,0.043,2460175.749118,0.0010809,6.0344667,5.9e-06,1.89,0.109,1.956086,0.054389,1800.0,50.0931,4.44029,0.243975,64.2648,788.0,42.0,94.1719,0.2512,5586.0,187.0,4.36763,0.270247,1.05,0.05,,,0.97,0.120939,"1,28,68",2018-09-05,2023-11-15,2023-12-08 12:13:22,HD 219666 b
20,394137592,120.01,,3,5,5,3,4,4,4,79.7,229.1,90.88,0,1,4,CP,True,7.1062,0.006,,1,sector-01-spoc-alerts,SPOC,00:17:47.32,-66:21:32.14,64.763,0.049,-5.056,0.041,2458332.082805,0.000707,11.535076,0.001035,8.555958,0.069027,2.597913,0.031416,2389.90616,28.935114,12.215808,1.480912,,,32.9,79.5702,0.17345,5479.3,57.0,3.77,0.08,2.48771,0.298399,-0.02,0.09,0.96,0.124471,1,2018-09-05,2021-12-07,2022-12-14 12:09:24,HD 1397 b	
22,231702397,122.01,,2,5,5,2,4,3,4,3.4,69.3,7.82,11,1,5,CP,True,13.084,0.007,,1,spoc-s01-s69-b0A-CP,SPOC,22:11:47.58,-58:56:45.91,138.138,0.089,-235.81,0.076,2458329.118988,0.0008659716,5.07803253491997,7.6383885e-06,1.21003530701906,0.27777362,6.450076,0.465919,5923.12830685094,429.03534,2.63477633626804,0.68248564,8.17431386481379,431.253643983621,15.281929,62.118,0.2158,3318.0,64.0,4.9581,0.407256,0.334125012159348,0.0100409,,,0.315858,0.0202514,"1,27,28,67,68",2018-09-05,2024-09-09,2024-09-09 00:00:00,TOI-122 b
23,290131778,123.01,,3,5,5,5,4,5,3,410.6,671.4,317.0,3,21,14,CP,True,7.87598,0.011,,1,qlp-s68-ffi,SPOC/QLP,21:18:47.9,-26:36:58.95,23.236,0.157,-57.557,0.152,2460175.035028,0.0012834,3.3088922,7.1e-06,6.114,0.702,5.154262,2.462493,4736.0,2265.47,24.9862,3.98163,17074.7,3184.0,133.0,161.498,2.4235,6188.0,194.0,4.27166,2.00586,2.62,0.13,,,1.263,0.201024,"1,28,68",2018-09-05,2023-11-15,2023-12-08 12:13:22,HD 202772 A b
25,52368076,125.01,,1,5,5,5,4,1,2,5.5,56.7,7.65,15,6,5,CP,True,10.1985,0.006,,1,qlp-s69-ffi,SPOC/QLP,01:34:22.42,-66:40:34.86,-119.8,0.066,-122.953,0.08,2460206.744249,0.0019795,4.6517186,8.3e-06,2.709,0.921,1.06237,0.086613,978.0,79.7705,2.66889,0.203698,540.772,1343.0,26.0,111.059,0.442,5154.0,182.0,4.47072,0.28501,0.85,0.05,,,0.91,0.110203,"1,2,28,68,69",2018-10-19,2023-11-15,2023-12-08 12:13:22,TOI-125 b / TOI 125.01
26,52368076,125.02,,2,5,5,5,4,4,2,3.2,44.2,7.42,15,6,5,CP,True,10.1985,0.006,,2,qlp-s69-ffi,SPOC/QLP,01:34:22.42,-66:40:34.86,-119.8,0.066,-122.953,0.08,2460202.049893,0.0032682,9.1549418,2.49e-05,2.457,0.341,1.196054,0.065582,1101.0,60.4017,2.62011,0.183373,42.2592,710.0,18.0,111.059,0.442,5154.0,182.0,4.47072,0.28501,0.85,0.05,,,0.91,0.110203,"1,2,28,68,69",2018-10-19,2023-11-15,2023-12-08 12:13:22,TOI-125 c / TOI-125.02
27,52368076,125.03,,1,5,5,5,4,4,1,1.5,32.8,7.07,15,6,5,CP,True,10.1985,0.006,,3,qlp-s69-ffi,SPOC,01:34:22.42,-66:40:34.86,-119.8,0.066,-122.953,0.08,2460181.146579,0.0052731,19.9815709,8.96e-05,2.724,0.716,0.987383,0.076907,909.0,70.8314,2.54717,0.192388,16.5853,562.0,10.0,111.059,0.442,5154.0,182.0,4.47072,0.28501,0.85,0.05,,,0.91,0.110203,"1,2,28,68,69",2018-10-19,2023-10-18,2023-10-19 12:10:53,TOI-125 d
28,70440470,126.01,,5,5,5,5,5,5,5,41.8,111.5,124.3,0,0,1,KP,True,12.7923,0.006,,1,spoc-s01-s36-b0A-CPKP,UNKNOWN,22:37:57.43,-35:09:15.13,-9.326,0.041,-50.142,0.045,2458326.731096,0.00042044988,3.0353977118465,3.6765503e-06,2.79646779523604,0.059945308,17.566776,0.292171,16049.4120426902,269.06363,13.7911582641848,0.73552907,726.756927372002,1324.2410444956,41.57743,573.027,11.688,5751.0,189.0,4.35036,,1.07223999500275,0.053588,,,1.09,0.142327,"1,28",2018-11-07,2021-12-08,2022-12-14 12:09:24,WASP-12 b
29,234523599,127.01,,5,5,5,5,4,5,5,34.9,146.7,76.0,3,0,0,CP,True,14.1266,0.007,,1,spoc-s01-s36-b0A-CPKP,SPOC,01:02:12.45,-61:45:22.08,78.858,0.087,-27.095,0.064,2458325.650603,0.00024310609,3.79551778380905,2.2713773e-06,2.01981348473053,0.031575486,58.298733,0.608638,52278.9940978848,560.4189,10.3261619477101,0.33078393,18.0832335970318,525.943113131369,75.709694,140.225,0.86,3424.0,,4.438,,0.445371985435486,0.01356,,,0.44159,0.0205201,"1,2,28,29",2018-11-14,2021-12-09,2022-12-14 12:09:24,HATS-71 b
31,201248411,129.01,,3,5,5,3,4,4,4,108.7,330.7,29.49,12,1,1,CP,True,9.9005,0.006,,1,spoc-s01-s36-b0A-CPKP,SPOC,00:00:44.55,-54:49:50.96,-202.815,0.031,-71.518,0.029,2460205.646862,0.000584,0.980972,5e-07,0.54050355175474,0.026238935,6.728913,0.065402,6178.39242097547,60.235405,5.91629233324987,0.7808294,719.56290446087,1320.95170904155,167.35898,61.7856,0.0805,4486.0,175.0,4.49914,0.338797,0.764401018619537,0.0628191,,,0.7,0.0867846,"1,2,28,29,68,69",2018-10-22,2023-11-15,2023-11-15 00:00:00,TOI 129.01 / HIP 65 A b
32,263003176,130.01,,3,5,5,5,4,3,4,4.4,74.2,5.98,2,9,5,CP,True,7.4371,0.006,,1,spoc-s01-s69-b0A-CP,SPOC,00:50:11.23,-83:44:37.56,139.424,0.056,30.476,0.042,2458336.557651,0.0011119779,14.3392144225603,2.232218e-05,4.60647385532854,0.35378832,0.426381,0.013446,392.634687150864,12.384206,2.29632326005693,0.759807,118.753848841067,841.941027573274,32.31029,57.5846,0.0945,6295.7,56.481,4.438,,1.13742005825043,0.0451659,,,1.23,0.18151,"1,12,13,27,39,66",2018-09-05,2024-09-17,2024-09-18 00:00:00,HD 5278 b
34,89020549,132.01,,2,5,5,2,4,4,4,10.5,67.8,12.19,12,2,8,CP,True,10.8061,0.006,,1,spoc,UNKNOWN,22:33:35.92,-43:26:12.74,35.553,0.043,-53.055,0.054,2458326.902893,0.0008217284,2.10968488254532,6.6356783e-06,2.12108283908954,0.2234417,1.436908,0.062857,1322.56571889796,57.89131,3.51757478561794,0.9270777,644.212013209031,1284.92256023279,18.639763,163.678,0.987,5673.0,188.0,4.55383,0.4189,0.940805971622467,0.0527538,,,0.91,0.113124,"1,28",2018-09-05,2021-12-01,2022-12-14 12:09:24,TOI-132 b / TOI-132.01
36,234994474,134.01,,1,5,5,5,4,1,4,16.0,129.2,3.68,7,5,9,CP,True,9.22978,0.007,,1,spoc,UNKNOWN,23:20:06.86,-60:03:56.63,-319.961,0.102,-127.781,0.115,2458326.033161,0.00065292715,1.40152451566955,5.9932813e-06,1.32199295587295,0.108556986,0.672414,0.04136,619.124015084521,38.093296,1.73956492902606,0.13575211,149.373865333401,891.637661967117,15.280327,25.1496,0.0239,3794.0,69.0,4.67812,0.063226,0.597006976604462,0.01815,,,0.58564,0.0205272,"1,28",2018-09-05,2021-10-07,2022-12-14 12:09:24,L 168-9 b
37,267263253,135.01,,5,5,5,5,4,5,5,146.8,206.2,317.0,2,1,3,CP,True,9.2205,0.006,,1,qlp-s68-ffi,SPOC,00:29:18.94,-76:18:14.52,-2.97,0.037,6.961,0.031,2460174.637067,0.000188,4.1269046,8e-07,4.405,0.016,11.823757,0.037289,10831.0,34.3442,17.0952,0.698036,1436.49,1715.0,389.0,196.852,0.774,6888.0,204.0,4.23416,0.355654,1.59,0.06,,,1.46,0.249445,"1,27,28,67,68",2018-09-05,2023-11-16,2023-12-08 12:13:22,HD 2685b
38,410153553,136.01,,1,5,5,5,4,1,4,38.2,326.7,2.92,11,1,5,PC,True,11.9238,0.008,,1,spoc,UNKNOWN,22:41:59.09,-69:10:19.59,334.357,0.083,-726.974,0.086,2459036.323679,0.00038085453,0.462884405273262,1.5224909e-05,0.558821920788134,0.08828183,4.885837,0.188836,4489.91192153051,173.90933,1.35432368024304,0.18157507,64.7181040420166,723.396154940473,25.038494,14.8846,0.0113,3043.0,63.0,5.09707,0.426694,0.188624,0.00571031,,,0.157909,0.0200668,"1,27",2018-09-05,2020-10-27,2022-12-14 12:09:24,Level 1 target. Potential short period small planet around an M dwarf.
39,176957796,137.01,,5,5,5,5,5,5,5,2.3,33.5,3.59,2,3,3,IS,False,10.702,0.006,,1,qlp-s31-tois,UNKNOWN,06:45:11.4,-66:14:17.98,18.528,0.048,-67.531,0.041,2459199.440315,0.7578715,4.8173797,0.0057592,1.323,1.857,1.956086,0.090132,1800.0,83.0109,1.71137,0.714717,33.919,672.0,1000.0,88.8838,0.19925,4651.0,175.0,4.56937,0.2,0.69,0.07,,,0.74,0.0949972,"1,2,3,4,5,7,8,9,10,11,12,13,27,28,29,30,31",2018-09-05,2021-12-07,2022-12-14 12:09:24,TFOP FA
41,62483237,139.01,,1,4,1,5,4,3,1,6.7,100.8,9.72,9,9,7,CP,True,9.3636,0.006,,1,spoc-s01-s69-b0A-PC,SPOC/QLP,22:25:36.58,-34:54:34.97,26.43,0.071,-30.255,0.08,2458334.891563,0.0013814847,11.0708575296637,2.77106e-05,2.19376165846134,0.31063417,1.249025,0.099718,1149.7328034023,91.839714,2.33376480352517,1.646811,22.4219066160939,554.993484245593,12.694616,42.4061,0.0763,4356.0,173.0,4.53491,0.3608,0.700726985931396,0.0575277,,,0.69,0.0852195,"1,28,68",2018-09-05,2024-09-09,2024-09-10 00:00:00,TOI-139 b
43,403224672,141.01,,1,5,5,5,4,1,2,13.3,129.0,3.62,12,14,17,CP,True,7.384,0.006,,1,qlp-s68-ffi,SPOC,22:35:56.09,-59:51:53.38,-108.388,0.05,-84.419,0.064,2460178.671412,0.0016377,1.0082361,1.5e-06,1.41,0.24,0.247576,0.013239,228.0,12.1939,1.7202,0.0924458,1882.94,1835.0,26.0,48.0883,0.0989,5795.29,44.5804,4.438,,1.13,0.05,,,1.04,0.129204,"1,27,28,68",2018-09-05,2023-11-15,2023-12-08 12:13:22,HD 213885 b
45,25375553,143.01,,5,5,5,5,5,5,5,127.3,148.0,317.0,2,3,8,KP,True,9.77486,0.006,,1,spoc-s01-s36-b0A-CPKP,SPOC,21:55:04.26,-22:36:45.36,12.885,0.101,-4.311,0.105,2460155.87081,0.00033902162,2.31096889835692,1.0088291e-06,3.43038207029443,0.018429179,7.440388,0.037297,6829.42364951378,34.351486,17.3042800039326,0.83617586,4324.03545359106,2068.197748977,189.12912,298.109,6.691,6371.0,197.0,3.94807,0.439603,1.95411002635956,0.0941057,,,1.336,0.218944,"1,28,68",2018-09-05,2023-11-15,2023-11-15 00:00:00,WASP-111 b
46,261136679,144.01,,1,5,5,5,4,1,1,17.1,202.3,4.65,0,14,4,CP,True,5.1054,0.006,,1,qlp-s62-ffi,SPOC,05:37:11.83,-80:27:52.57,311.187,0.127,1048.84,0.136,2460011.550653,0.0028276,6.267832,2.29e-05,2.789,0.237,0.348577,0.008096,321.0,7.45646,1.99779,0.0837751,203.434,1052.0,53.0,18.2702,0.0226,5950.0,,4.438,,1.15,0.05,0.0887839,0.00649598,1.1,0.140389,"1,4,8,11,12,13,27,28,31,34,38,39,61,62",2019-05-07,2023-04-04,2023-04-07 12:13:06,pi Men c
48,355636844,146.01,,5,5,5,5,5,5,5,14.4,27.2,119.48,3,0,5,EB,False,10.7124,0.006,,1,qlp,QLP,23:53:12.49,-56:00:47.71,65.392,1.57,-27.177,1.636,2459080.90325,0.00446,6.30556,4e-05,2.946,0.394,0.934135,0.00134,860.0,1.23429,,,,,17.0,739.632,639.884,,,,,,,,,,,"1,2,28",2018-09-05,2022-10-17,2022-12-14 12:09:24,Signal coming from a faint star to the SE. At least for the brighter of those it could be a planet. TFOP FP.
49,220435095,147.01,,5,5,5,5,5,5,5,135.5,285.1,317.0,6,0,1,EB,False,11.8999,0.006,,1,spoc-s01-s65-b0A-PC,QLP,04:54:33.95,-57:30:48.43,5.001,0.053,22.236,0.054,2460185.36556,0.0012453676,3.42310017313899,1.374783e-06,2.43775826059659,0.026315102,9.424918,0.096907,8643.10164549566,89.250626,35.4084056872344,4.8527308,3086.11293247263,1900.95879476362,147.44981,820.079,16.5695,5620.9,134.5,3.6,0.08,2.61261010169983,0.158683,-0.773322,0.1,1.0,0.124679,"13,27,28,29,30,32,33,34,35,36,37,38,39,62,63,64,65,67,68,69",2018-09-05,2023-11-27,2023-12-08 12:13:22,transit is V-shaped; the minimum planet radius is large (26 Re); the light curve shows a slightly eccentric secondary eclipse; TFOP FP/EB
50,393940766,148.01,,3,4,4,3,4,3,5,13.0,60.0,43.22,11,2,1,PC,True,11.7835,0.006,,1,qlp-s28-tois,QLP,22:33:16.99,-38:09:35.38,22.348,0.07,-25.839,0.072,2458327.32937,0.00191,4.86709,2e-05,3.103,0.389,4.580598,0.003424,4210.0,3.15395,7.42915,0.444077,435.152,1272.0,14.0,395.257,9.729,5814.3,793.8,4.34,2.0,1.15,0.06,,,1.13,0.153555,"1,28",2018-09-05,2022-10-17,2022-12-14 12:09:24,Planet candidate around 393940766 to the NW.
52,271893367,150.01,,3,5,5,3,4,4,4,40.6,104.4,125.8,4,2,3,CP,True,10.9031,0.006,,1,spoc-s01-s39-b0A-CP,QLP,07:31:51.7,-73:36:21.73,-15.215,0.029,27.144,0.033,2459995.645628,0.0014220501,5.85740753759727,3.0940705e-06,5.85480292934519,0.02472023,7.069098,0.029277,6489.73023457872,26.96511,13.8892761532574,0.61632216,750.922027314322,1335.1143400762,157.52177,336.267,1.916,5982.9,108.8,4.03,0.08,1.6798700094223,0.0741256,0.211186,0.046085,1.1,0.141051,"9,10,11,12,13,27,28,29,30,31,32,33,34,35,36,37,39,61,62",2018-09-05,2023-10-05,2023-10-05 00:00:00,TOI 150 b
53,382302241,151.01,,5,5,5,5,5,5,5,14.3,90.2,12.01,2,1,1,EB,False,11.0264,0.006,,1,sector-01-qlp-alerts,QLP,05:33:23.79,-58:44:42.33,28.992,0.046,25.403,0.06,2458326.05013,0.002,1.59782,6e-05,1.49,0.296,1.862211,0.004951,1713.69,4.56,3.59995,0.207255,955.676,1548.0,32.0,137.504,0.4555,5037.6,64.8,4.72,0.2,0.79,0.02,0.102405,0.1,0.87,0.107354,1,2018-09-05,2021-12-07,2022-12-14 12:09:24,Large with possible synchronization; SG1 confirms NEB	
54,403287048,152.01,,5,5,5,5,5,5,5,14.1,68.2,52.8,2,1,1,EB,False,11.3569,0.006,,1,sector-01-qlp-alerts,QLP,22:09:25.8,-62:20:04.03,-34.716,0.036,-109.526,0.047,2458327.92337,0.00494,7.00776,0.00315,2.68,0.824,3.988702,0.019543,3666.99,18.0,8.1288,0.625284,302.511,1161.0,16.0,376.849,4.5095,6347.0,102.6,4.23,0.45,1.22,0.04,,,1.26,0.191402,1,2018-09-05,2021-12-07,2022-12-14 12:09:24,retired as NEB
56,389525208,154.01,,5,5,5,5,5,5,5,44.5,50.0,317.0,1,1,3,EB,False,10.0704,0.006,,1,qlp-s27-ffi,QLP,20:53:02.75,-38:35:41.72,-5.023,0.069,-10.868,0.059,2458329.36085,0.00093,6.74657,1e-05,1.803,0.19,3.229435,0.002949,2970.0,2.71583,16.2785,0.919926,80.0277,833.0,31.0,402.734,8.073,5910.7,162.8,3.59,0.54,2.57,0.13,,,1.17,0.165402,"1,27",2018-09-05,2021-12-07,2022-12-14 12:09:24,TFOP FP
